iso3,annee,credit_prive_pib_fd
SEN,2007,16.1484484640429
SEN,2006,15.7234830343789
SEN,2005,15.5840062845723
SEN,2004,14.3124564186367
SEN,2003,13.0371551015907
SEN,2002,11.8953781578597
SEN,2001,11.237106650157
SEN,2000,14.5072674885502
TGO,2024,25.285613396605
TGO,2023,25.9977945098545
TGO,2022,26.5316153774983
TGO,2021,26.1587753453572
TGO,2020,26.8258736949839
TGO,2019,27.5223311861907
TGO,2018,27.7316625827634
TGO,2017,29.5664939179808
TGO,2016,30.3501432167695
TGO,2015,29.0972786215797
TGO,2014,25.3813502131524
TGO,2013,27.139664021187
TGO,2012,21.7476933960182
TGO,2011,19.958694454337
TGO,2010,15.6238629251884
TGO,2009,14.0927548810309
TGO,2008,13.5432540986218
TGO,2007,15.9364389347801
TGO,2006,11.0300085682182
TGO,2005,10.0443376782209
TGO,2004,9.25048954186592
TGO,2003,10.051601367961
TGO,2002,8.12424446619038
TGO,2001,9.08811274800628
TGO,2000,9.86385898922584
